"t0"	"t1"	"t2"	"t3"	"t4"	"t5"	"t6"	"t7"	"t8"	"t9"	"t10"	"t11"	"t12"	"t13"	"t14"	"t15"	"t16"	"t17"	"t18"	"t19"	"t20"	"t21"	"t22"	"t23"	"t24"
"kitchen"	"tower"	"went"	"her"	"guava"	"windows"	"but"	"see"	"sing"	"bugger"	"shape"	"look"	"crunch"	"spiny"	"let's"	"jumped"	"dwayne"	"palace"	"scales"	"zebra"	"heart"	"sheba"	"half"	"down"	"why"
"take"	"paint"	"lake"	"well"	"chocolate"	"school"	"like"	"nice"	"sky"	"kiddo"	"flowers"	"milk"	"knox"	"night"	"massage"	"paddy"	"boom"	"rumble"	"things"	"old"	"roo"	"motorcycle"	"pancake"	"which"	"highchair"
"down"	"bear"	"where"	"hundred"	"apple"	"bumpety"	"mom"	"job"	"letter"	"why"	"many"	"nanny name"	"sway"	"boat"	"wet"	"rhymes"	"basket"	"feet"	"shark"	"dinosaur"	"they've"	"freight"	"hour"	"boy"	"owl"
"in"	"pants"	"butterfly"	"months"	"some"	"putt"	"will"	"tweety"	"came"	"woo"	"one"	"see"	"dub"	"them"	"shirt"	"moon"	"nanny name"	"ready"	"hump"	"tiger"	"brilliant"	"go"	"he'll"	"little"	"hug"
"bed"	"bee"	"away"	"because"	"taste"	"driver"	"night"	"gonna"	"abc"	"bath"	"yellow"	"alright"	"fiddlers"	"clam"	"dirty"	"round"	"wheels"	"wand"	"fan"	"polar"	"gloomy"	"ladder"	"today"	"you"	"martina"
"hey"	"bicycle"	"two"	"for"	"child name"	"conductor"	"ok"	"puzzle"	"posies"	"hello"	"bye"	"ferrari"	"stomp"	"above"	"grape"	"nursery"	"red"	"album"	"read"	"hippo"	"true"	"car"	"time"	"kittens"	"did"
"bring"	"bubble"	"zzz"	"mean"	"mango"	"mommas"	"to"	"get"	"beautiful"	"ready"	"let's"	"eat"	"teddy"	"sky"	"blanket"	"spider"	"chocolate"	"lollipop"	"seahorse"	"bear"	"been"	"jeep"	"feed"	"hyena"	"what"
"can"	"eyes"	"hill"	"do"	"bread"	"fedex"	"how"	"who"	"blah"	"crawling"	"snowmen"	"why"	"gus"	"he"	"fresh"	"swiper"	"george"	"she"	"will"	"leopard"	"kite"	"concrete"	"you"	"fifty"	"come"
"jum"	"gold"	"splish"	"twenty"	"peach"	"baby"	"rupal"	"yeah"	"everyone"	"listen"	"umbrella"	"moose"	"dainty"	"lullaby"	"did"	"driving"	"big"	"tiny"	"they"	"animals"	"judge"	"hubcaps"	"try"	"tango"	"say"
"be"	"bird"	"day"	"terms"	"open"	"lick"	"dad"	"your"	"k"	"calm"	"surfing"	"no"	"tweet"	"bed"	"no"	"knick-knack"	"drive"	"salami"	"wet"	"i"	"crowded"	"plane"	"eight"	"child name"	"breakfast"
"laundry"	"volcano"	"splash"	"would"	"potato"	"wake"	"home"	"zipper"	"chup"	"huggy"	"is"	"wrong"	"jack"	"in"	"towel"	"blow"	"gah"	"stepsisters"	"rake"	"peacock"	"love"	"siren"	"sauce"	"want"	"purse"
"deck"	"wow"	"three"	"right"	"cup"	"luggage"	"very"	"hiding"	"bumper"	"happened"	"how"	"relax"	"ben"	"crabby"	"wipe"	"sir"	"down"	"sausage"	"ball"	"meow"	"goodbye"	"that"	"ounces"	"sing"	"movie"
"dude"	"yeah"	"five"	"had"	"jellyfish"	"christmas"	"happy"	"crazy"	"counting"	"just"	"job"	"brother"	"sing"	"lola"	"pj"	"wool"	"keys"	"they"	"tame"	"say"	"me"	"hi"	"go"	"dane"	"hi"
"wait"	"crane"	"book"	"us"	"jenny"	"terminal"	"wow"	"davino"	"it"	"got"	"chalkboard"	"can"	"song"	"jellyfish"	"our"	"monkey"	"no"	"2"	"sank"	"grandmother"	"blind"	"workers"	"really"	"mama"	"banjo"
